"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.936501583E0,-8.681823375E-2,6.047471825E-2,-2.628820449E-1,2.833753108E-1
1.946535583E0,-3.901291519E-2,1.796805516E-2,-2.542685115E-1,2.578707710E-1
1.956570583E0,2.074031146E-2,-1.492801465E-2,-1.734301704E-1,1.753026815E-1
1.966604583E0,5.550621120E-2,1.327325262E-2,-1.209408849E-1,1.337303869E-1
1.976639583E0,3.241802339E-2,3.969189570E-2,-5.935742497E-2,7.841988730E-2
1.986673583E0,4.345778581E-3,4.399647882E-2,-4.837518454E-2,6.553422327E-2
1.996708583E0,-5.901234789E-2,5.428693883E-2,-1.169928449E-1,1.418338983E-1
2.006742583E0,-8.095537679E-2,5.536765960E-2,-1.927487862E-1,2.162670695E-1
2.016777583E0,-8.250942053E-2,2.317880139E-2,-2.082971174E-1,2.252393181E-1
2.026811583E0,-6.535005357E-2,1.388244113E-2,-1.636606425E-1,1.767714841E-1
2.036846583E0,-1.813981712E-2,-2.323993220E-2,-5.062168479E-2,5.858073390E-2
2.046881583E0,-1.021967215E-2,-5.447868182E-2,4.058552384E-3,5.557733638E-2
2.056915583E0,1.164619178E-3,-4.229669323E-2,3.208776534E-2,5.310359009E-2
2.066950583E0,3.594588613E-2,-8.107920072E-2,-7.872106433E-3,8.903883186E-2
2.076984583E0,5.947804207E-2,-9.265541777E-2,-3.346536934E-2,1.150764740E-1
2.087019583E0,5.478329435E-2,-6.813037721E-2,-5.291437805E-2,1.021904548E-1
2.097053583E0,5.048228351E-2,-4.791237742E-2,-6.037542522E-2,9.213711971E-2
2.107088583E0,6.656015312E-2,-3.119748107E-2,-6.828027606E-2,1.003281262E-1
2.117122583E0,7.965157561E-2,-1.825537272E-2,-1.174711472E-1,1.430982269E-1
2.127157583E0,7.663435752E-2,8.897196427E-3,-1.458196181E-1,1.649707425E-1
2.137191583E0,8.992350725E-2,2.252163830E-2,-1.242737979E-1,1.550401180E-1
2.147226583E0,8.355342261E-2,-4.138197857E-3,-8.502904058E-2,1.192821732E-1
2.157260583E0,6.941730369E-2,3.663513581E-3,-3.501955926E-2,7.783670673E-2
2.167295583E0,9.351737045E-2,-3.022181375E-2,2.570202112E-2,1.015846961E-1
